guessWord,genreHint,directorsHint,studioHint 
Godzilla: King of the Monsters,"Action & Adventure, Science Fiction & Fantasy",Michael Dougherty,Warner Bros. Pictures
Godzilla Resurgence (Shin Godzilla),"Action & Adventure, Drama, Science Fiction & Fantasy","Hideaki Anno, Shinji Higuchi",Toho Company
Godzilla Vs. Destoroyah,"Action & Adventure, Science Fiction & Fantasy",Takao Okawara,Sony Pictures Entertainment
Godzilla vs. King Ghidorah (Gojira tai Kingu Gidorâ),"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy","Koichi Kawakita, Kazuki Omori",Sony Pictures Entertainment
Godzilla Vs Mechagodzilla,"Art House & International, Classics, Science Fiction & Fantasy",Jun Fukuda,Sony Pictures Entertainment
Godzilla vs. Megaguirus,"Action & Adventure, Art House & International, Science Fiction & Fantasy",Masâki Tezuka,Sony Pictures Home Entertainment
Godzilla vs. Space Godzilla (Gojira vs. Supesugojira),"Action & Adventure, Horror, Science Fiction & Fantasy",Kensho Yamashita,Sony Pictures
Godzilla's Revenge (All Monsters Attack),"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Ishirô Honda,Maron Films
Goethe! (Young Goethe in Love),"Art House & International, Drama",Philipp Stölzl,Music Box Films
Gogol Bordello Non-Stop,"Documentary, Musical & Performing Arts",Margarita Jimeno,Lorber Films
Goin' South,"Comedy, Drama, Western",Jack Nicholson,Paramount Home Video
Going Clear: Scientology and the Prison of Belief,Documentary,Alex Gibney,Home Box Office
Going Down In La-la Land,"Comedy, Drama, Romance",Casper Andreas,Embrem Entertainment
Going in Style,"Comedy, Drama",Martin Brest,Warner Bros. Pictures
Going in Style,Comedy,Zach Braff,Warner Bros. Pictures
Going My Way,"Classics, Comedy, Drama, Musical & Performing Arts",Leo McCarey,Paramount Pictures
Going Places (Les valseuses),"Art House & International, Comedy, Drama",Bertrand Blier,Franco London Films
Going Shopping,"Comedy, Drama",Henry Jaglom,MTI Home Video
Going Under,"Art House & International, Drama",Eric Werthman,
Gold,Drama,Stephen Gaghan,TWC-Dimension
Gold Diggers of 1933,Musical & Performing Arts,Mervyn LeRoy,MGM Home Entertainment
Gold Diggers of 1935,"Classics, Comedy, Musical & Performing Arts",Lloyd Bacon,Warner Bros. Pictures
Gold Star,Drama,Victoria Negri,Big Vision Creative
Elizabeth: The Golden Age,"Drama, Mystery & Suspense",Shekhar Kapur,Universal Pictures
The Golden Bowl,"Art House & International, Drama, Romance",James Ivory,Lions Gate Films
Golden Boy,Drama,Stoney Westmoreland,DFM Creative
The Golden Child,"Action & Adventure, Comedy, Cult Movies",Michael Ritchie,Paramount Home Video
Golden Door (Nuovomondo),"Art House & International, Drama","Emanuele Crialese, Vincenzo Amato, Charlotte Gainsbourg",Miramax Films
Golden Exits,Drama,,Sony Pictures and Vertical Entertainment
Golden Kingdom,Drama,Brian Perkins,Alive Mind
The Golden Voyage of Sinbad,"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Gordon Hessler,Columbia Pictures
GoldenEye,"Action & Adventure, Mystery & Suspense",Martin Campbell,MGM/UA
Goldfinger,"Action & Adventure, Classics, Mystery & Suspense",Guy Hamilton,United Artists
"The Golem (Der Golem, wie er in die Welt kam)","Art House & International, Classics, Horror, Science Fiction & Fantasy","Carl Boese, Paul Wegener",
Golmaal Returns,"Art House & International, Comedy","Rohit Shetty, Hanif Mohammad",Studio 18
Golmaal 3,"Art House & International, Comedy",Rohit Shetty,Eros International
Gomorrah (Gomorra),"Art House & International, Drama, Mystery & Suspense",Matteo Garrone,IFC Films
Gone,Mystery & Suspense,Heitor Dhalia,Summit Entertainment
Gone Baby Gone,"Drama, Mystery & Suspense",Ben Affleck,Miramax
Gone Doggy Gone,"Action & Adventure, Comedy, Drama","Brandon Walter, Kasi Brown",Indican Pictures
Gone Fishin',Comedy,Christopher Cain,Hollywood Pictures
Gone Girl,"Drama, Mystery & Suspense",David Fincher,20th Century Fox
Gone With the Wind,"Classics, Drama, Romance",Victor Fleming,Loew's Inc.
Gonjiam: Haunted Asylum,Horror,Beom-sik Jeong,
Gonzo: The Life and Work of Hunter S. Thompson,"Documentary, Special Interest",Alex Gibney,Magnolia Pictures
Gooby,"Art House & International, Kids & Family, Science Fiction & Fantasy",Wilson Coneybeare,Monterey Media
Good Advice,"Comedy, Romance",Steve Rash,Artisan Home Entertainment
Good Burger,"Comedy, Kids & Family",Brian Robbins,Paramount Pictures
"Good Bye, Lenin!","Art House & International, Comedy, Drama, Romance",Wolfgang Becker,Sony Pictures Classics
A Good Day to Be Black & Sexy,"Comedy, Drama, Romance",Dennis Dortch,Magnolia Pictures
Good Dick,"Art House & International, Comedy, Drama",Marianna Palka,42 West
The Good Earth,"Classics, Drama","Sidney Franklin, Victor Fleming",WARNER BROTHERS PICTURES
Good for Nothing,"Art House & International, Western",Mike Wallis,Screen Media Ventures
Good Fortune,"Documentary, Kids & Family","Joshua Tickell, Rebecca Harrell Tickell",Paladin
The Good German,"Drama, Mystery & Suspense, Romance",Steven Soderbergh,Warner Bros. Pictures
The Good Guy,"Comedy, Drama, Romance",Julio DePietro,Roadside Attractions
Good Hair,"Comedy, Documentary, Special Interest",Jeff Stilson,Roadside Attractions
Good Kids,Comedy,Chris McCoy,Depth of Field
Good Kill,Mystery & Suspense,Andrew Niccol,IFC Films
Good Luck Chuck,Comedy,Mark Helfrich,Lionsgate Films
A Good Man in Africa,"Comedy, Drama",Bruce Beresford,MCA Universal Home Video
Good Morning (Ohayô),"Art House & International, Comedy",Yasujiro Ozu,Shôchiku Eiga
"Good Morning, Vietnam","Comedy, Drama",Barry Levinson,Buena Vista Pictures
The Good Mother (The Price of Passion),"Drama, Romance",Leonard Nimoy,Touchstone Pictures
Good Neighbors,"Drama, Mystery & Suspense",Jacob Tierney,Magnolia Pictures
Good News,"Classics, Comedy, Musical & Performing Arts, Romance",Charles Walters,MGM Home Entertainment
The Good Night,"Comedy, Drama, Romance","Jake Paltrow, Giles Nuttgens",Yari Film Group
Good Ol' Freda,"Documentary, Special Interest",Ryan White,Magnolia Pictures
Good People,"Drama, Mystery & Suspense",Henrik Ruben Genz,Millennium Entertainment
Good Sam,Comedy,Kate Melville,
The Good Shepherd,"Drama, Mystery & Suspense, Romance",Robert De Niro,Universal Pictures
The Good Son,"Drama, Mystery & Suspense",Joseph Ruben,Twentieth Century Fox Home Entertainment
Good Time,Drama,"Benny Safdie, Josh Safdie",A24
Good Will Hunting,Drama,Gus Van Sant,Miramax Films
A Good Woman,"Comedy, Drama, Romance",Mike Barker,Lions Gate Films
A Good Year,"Comedy, Drama, Romance",Ridley Scott,20th Century Fox
Goodbye Christopher Robin,Drama,,Fox Searchlight Pictures
"Goodbye, Columbus","Comedy, Romance",Larry Peerce,Paramount
Goodbye Lover,"Comedy, Drama, Mystery & Suspense",Roland Joffé,Warner Home Video
Goodbye Solo,"Comedy, Drama",Ramin Bahrani,Roadside Attractions
Goodbye to All That,"Comedy, Drama",Angus MacLachlan,IFC Films
Goodbye World,"Comedy, Drama","Denis Hennelly, Denis Henry Hennelly",IDP/Samuel goldwyn Films
"Goodnight Mommy (Ich seh, Ich seh)","Drama, Horror","Veronika Franz, Severin Fiala",Radius-TWC
"The Goods: Live Hard, Sell Hard",Comedy,Neal Brennan,Paramount Vantage
A Goofy Movie,"Animation, Comedy, Kids & Family",Kevin Lima,The Walt Disney Company
Google Me,"Art House & International, Documentary, Special Interest",Jim Killeen,FilmBuff
Gook,Drama,Justin Chon,Samuel Goldwyn Films
Goon,"Comedy, Sports & Fitness",Michael Dowse,Magnolia Pictures
Goon: Last of the Enforcers,Comedy,Jay Baruchel,Momentum Pictures
The Goonies,"Action & Adventure, Comedy, Kids & Family",Richard Donner,Amblin Entertainment
Goosebumps,"Horror, Kids & Family, Mystery & Suspense",Rob Letterman,Sony Pictures
Goosebumps 2: Haunted Halloween,"Comedy, Horror, Kids & Family",Ari Sandel,Columbia Pictures
Gordy,"Comedy, Kids & Family",Mark Lewis,Miramax
Gore Vidal: The United States Of Amnesia,"Documentary, Special Interest",Nicholas Wrathall,IFC Films
Gored,Documentary,Ido Mizrahy,MotherLode Films
Gori Tere Pyaar Mein,"Comedy, Romance",Punit Malhotra,Reliance Entertainment
Gorillas in the Mist: The Story of Dian Fossey,Drama,Michael Apted,Universal Pictures
Gorky Park,"Drama, Mystery & Suspense",Michael Apted,Vestron Video
Gosford Park,"Comedy, Drama, Mystery & Suspense",Robert Altman,USA Films
The Gospel,"Drama, Faith & Spirituality",Rob Hardy,Screen Gems
Il Vangelo Secondo Matteo (The Gospel According to St. Matthew),"Art House & International, Documentary, Drama",Pier Paolo Pasolini,Water Bearer Films Inc.
Gospel Hill,Drama,Giancarlo Esposito,Fox
Gossip,"Drama, Mystery & Suspense",Colin Nutley,Warner Home Video
Gothic,"Art House & International, Drama, Horror, Mystery & Suspense",Ken Russell,LionsGate Entertainment
Gothika,"Horror, Mystery & Suspense",Mathieu Kassovitz,Warner Bros. Pictures
Gottfried Helnwein and the Dreaming Child,"Art House & International, Documentary, Musical & Performing Arts",Lisa Kirk Colburn,First Run Features
Gotti,Drama,Kevin Connolly,Vertical Entertainment
The Governess,"Art House & International, Drama, Romance",Sandra Goldbacher,Sony Pictures Home Entertainment
Goya's Ghosts,Drama,Milos Forman,Samuel Goldwyn Films
Grabbers,"Comedy, Drama, Horror, Science Fiction & Fantasy",Jon Wright,IFC
Grace Is Gone,Drama,James C. Strouse,The Weinstein Company
Grace of My Heart,"Drama, Musical & Performing Arts",Allison Anders,MCA Universal Home Video
Grace Unplugged,"Drama, Faith & Spirituality",Brad J. Silverman,Roadside Attractions
Graceland,"Art House & International, Drama, Mystery & Suspense",Ron Morales,Drafthouse Films
Gracie,Drama,Davis Guggenheim,Picturehouse
The Graduate,"Classics, Comedy, Drama, Romance",Mike Nichols,Embassy Pictures/Rialto Pictures
Graduation,"Action & Adventure, Comedy, Drama",Michael Mayer (VI),Truly Indie
Graduation Day (Día de Graduación),"Horror, Mystery & Suspense",Herb Freed,IFI
Graffiti Bridge,"Drama, Musical & Performing Arts",Prince,WARNER BROTHERS PICTURES
Gran Torino,Drama,Clint Eastwood,Warner Bros. Pictures/Village Roadshow
Grand Canyon Adventure: River at Risk,Documentary,Greg MacGillivray,MacGillivray Freeman Films
Grand Hotel,"Classics, Drama, Romance",Edmund Goulding,MGM Home Entertainment
Grand Piano,Mystery & Suspense,Eugenio Mira,Magnet Releasing
Grand Prix,"Classics, Drama",John Frankenheimer,MGM Home Entertainment
Grand Theft Parsons,"Comedy, Drama",David Caffrey,Redbus Film Distribution
Grandma,Comedy,Paul Weitz,Sony Pictures Classics
Grandma's Boy,Comedy,Nicholaus Goossen,20th Century Fox
The Grapes of Wrath,"Classics, Drama",John Ford,20th Century Fox Film Corporation
Grass,"Documentary, Drama, Special Interest",Ron Mann,Unapix
The Grass Harp,"Comedy, Drama",Charles Matthau,New Line Home Entertainment
The Grass Is Greener,"Classics, Comedy, Romance",Stanley Donen,Grandon
Grass Is Greener,Documentary,Fab 5 Freddy,
Grassroots,"Comedy, Drama, Special Interest",Stephen Gyllenhaal,Samuel Goldwyn Films
Grateful Dawg,"Documentary, Musical & Performing Arts",Gillian Grisman,Sony Pictures Classics
Grave Encounters,Horror,"Colin Minihan, Stuart Ortiz",Independent Pictures
Grave Encounters 2,Horror,John Poliquin,Tribeca Films
Grave of the Fireflies (Hotaru no haka),"Animation, Anime & Manga, Art House & International, Drama",Isao Takahata,Shinchosha Company
The Gravedancers,"Horror, Mystery & Suspense",Mike Mendez,LionsGate Entertainment
Gravity,"Drama, Science Fiction & Fantasy",Alfonso Cuarón,Warner Bros. Pictures
Gravy,"Comedy, Horror",James Roday,Shout! Factory
Gray Lady Down,"Action & Adventure, Drama, Mystery & Suspense",David Greene,MCA Universal Home Video
Gray's Anatomy,"Art House & International, Comedy, Drama, Musical & Performing Arts",Steven Soderbergh,Criterion Collection
Grease,"Comedy, Musical & Performing Arts, Romance",Randal Kleiser,Paramount Pictures
Grease 2,"Comedy, Musical & Performing Arts, Romance",Patricia Birch,Paramount Home Video
Grease: Live!,"Musical & Performing Arts, Television","Thomas Kail, Alex Rudzinski",Fox Broadcasting Company
Greaser's Palace,"Classics, Comedy, Drama, Western",Robert Downey Sr.,Greaser's Palace
A Great Day in Harlem,"Documentary, Musical & Performing Arts, Special Interest",Jean Bach,A B C Home Video
The Great Debaters,Drama,Denzel Washington,MGM
The Great Dictator,"Classics, Comedy, Drama",Charles Chaplin,Criterion Collection
Great Expectations,"Classics, Drama",David Lean,Universal Pictures
Great Expectations,"Classics, Drama",Mike Newell,Main Street Films
The Great Gabbo,"Classics, Drama",James Cruze,World Wide Pictures
The Great Muppet Caper,"Comedy, Kids & Family, Musical & Performing Arts",Jim Henson,Universal Pictures
The Great New Wonderful,"Comedy, Drama",Danny Leiner,First Independent Pictures
The Great Outdoors,Comedy,Howard Deutch,Universal Pictures
The Great Raid,"Action & Adventure, Drama",John Dahl,Miramax Films
The Great Santini,Drama,Lewis John Carlino,Warner Home Video
The Great White Hype,"Comedy, Drama",Reginald Hudlin,Twentieth Century Fox Home Entertainment
Great World of Sound,"Comedy, Drama",Craig Zobel,Magnolia Pictures
The Great Ziegfeld,"Classics, Drama, Musical & Performing Arts, Romance",Robert Z. Leonard,MGM Home Entertainment
Greater,"Drama, Sports & Fitness",David Hunt,
The Greatest Game Ever Played,Drama,Bill Paxton,Buena Vista Pictures
The Greatest Show on Earth,"Classics, Drama, Kids & Family, Romance",Cecil B. DeMille,Paramount Pictures
The Greatest Story Ever Told,"Classics, Drama, Faith & Spirituality",George Stevens,MGM Home Entertainment
Greedy,Comedy,Jonathan Lynn,MCA Universal Home Video
Greedy Lying Bastards,"Documentary, Special Interest",Craig Scott Rosebraugh,One Earth Productions
Green Book,Drama,Peter Farrelly,Universal Pictures
Green Card,"Comedy, Romance",Peter Weir,Touchstone Pictures
Green Dragon,Drama,Timothy Linh Bui,Silver Nitrate Films
Green for Danger,"Classics, Drama, Mystery & Suspense",Sidney Gilliat,Eagle-Lion Films
The Green Hornet,"Action & Adventure, Comedy, Science Fiction & Fantasy",Michel Gondry,Sony Pictures
Green Lantern,"Action & Adventure, Science Fiction & Fantasy",Martin Campbell,Warner Bros. Pictures
Green Lantern: First Flight,"Action & Adventure, Animation, Science Fiction & Fantasy",Lauren Montgomery,Warner Home Video
The Green Mile,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Frank Darabont,Warner Bros. Pictures
The Green Pastures,"Classics, Comedy, Drama","William Keighley, Marc Connelly",Warner Home Video
Green Room,Horror,Jeremy Saulnier,A24 Films
The Green Slime,"Drama, Horror, Science Fiction & Fantasy",Kinji Fukasaku,Warner Home Video
Green Street Hooligans,Drama,Lexi Alexander,Freestyle Releasing
Greenberg,"Comedy, Drama",Noah Baumbach,Focus Features
Greener Grass,Comedy,"Jocelyn DeBoer, Dawn Luebbe",IFC Midnight
Greenfingers,"Comedy, Drama",Joel Hershman,IDP Distribution
Greenwich Village: Music That Defined a Generation,"Documentary, Musical & Performing Arts",Laura Archibald,Independent Pictures
Greetings From Tim Buckley,Drama,Dan Algrant,Tribeca Film
Gregory Crewdson: Brief Encounters,"Documentary, Musical & Performing Arts",Ben Shapiro,Zeitgeist Films
Gregory's Girl,"Art House & International, Comedy, Drama, Romance",Bill Forsyth,Film Movement
Gremlins,"Comedy, Horror, Science Fiction & Fantasy",Joe Dante,Warner Bros. Pictures
Gremlins 2: The New Batch,"Comedy, Horror, Science Fiction & Fantasy",Joe Dante,Warner Home Video
Greta,Drama,Neil Jordan,Focus Features
Gretchen,Comedy,Steve Collins,Film Science
Grey Gardens,"Documentary, Special Interest","David Maysles, Susan Froemke, Albert Maysles, Ellen Hovde, Muffie Meyer",Janus Films
Grey Gardens,"Drama, Television",Michael Sucsy,HBO
Grey Owl,Drama,Richard Attenborough,Beaver Productions
"Greystoke: The Legend of Tarzan, Lord of the Apes","Action & Adventure, Art House & International, Drama, Kids & Family",Hugh Hudson,Warner Home Video
Gridiron Gang,"Action & Adventure, Drama",Phil Joanou,Sony Pictures
Il Grido (The Cry),"Art House & International, Drama",Michelangelo Antonioni,Kino on Video
Griff the Invisible,"Art House & International, Comedy, Drama, Romance",Leon Ford,Indomina Releasing
The Grifters,"Drama, Mystery & Suspense",Stephen Frears,HBO Video
Grigris,Drama,Mahamat-Saleh Haroun,Les Films du Losange
Gringo,"Action & Adventure, Comedy, Drama",Nash Edgerton,Amazon Studios and STX Entertainment
Gringo Trails,"Action & Adventure, Documentary, Drama",Pegi Vail,Icarus Films
Touchez Pas au Grisbi (Hands Off the Loot),"Art House & International, Drama, Mystery & Suspense",Jacques Becker,UMPO
Grizzly Man,Documentary,Werner Herzog,Lions Gate Releasing
Le fils de l'épicier (The Grocer's Son),"Art House & International, Drama",Eric Guirado,Les Films du Losange
The Groomsmen,Comedy,Edward Burns,Bauer Martinez Distribution
Groove,Drama,Greg Harrison,Sony Pictures Classics
Gross Anatomy,"Comedy, Drama",Thom Eberhardt,Touchstone Pictures
Grosse Pointe Blank,"Action & Adventure, Comedy, Drama, Mystery & Suspense",George Armitage,Buena Vista Internationa
Ground Control,"Action & Adventure, Drama, Mystery & Suspense",Richard Howard,Trimark
Groundhog Day,"Comedy, Science Fiction & Fantasy, Special Interest, Romance",Harold Ramis,Columbia Pictures
Growing Up Smith (Good Ol' Boy),"Comedy, Drama, Kids & Family",Frank Lotito,Good Deed Entertainment
Grown Up Movie Star,"Comedy, Drama",Adriana Maggs,Mongrel Media
Grown Ups,Comedy,Dennis Dugan,Sony Pictures
Grown Ups 2,Comedy,Dennis Dugan,Sony Pictures
The Grudge 2,"Horror, Mystery & Suspense",Takashi Shimizu,Sony Pictures Entertainment
Grudge Match,"Comedy, Drama, Sports & Fitness",Peter Segal,Warner Bros. Pictures
Grumpier Old Men,Comedy,Howard Deutch,Warner Home Video
Grumpy Cat's Worst Christmas Ever,Comedy,"Jeff Morris, Tim Hill",Lifetime Movie Network
Grumpy Old Men,"Comedy, Drama",Donald Petrie,Warner Bros. Pictures
In Bloom,Drama,"Nana Ekvtimishvili, Simon Gross",Big World Pictures
GTFO: Get the F&#% Out,Documentary,Shannon Sun-Higginson,
Guardians of the Galaxy,"Action & Adventure, Science Fiction & Fantasy",James Gunn (II),Walt Disney Pictures
Guardians of the Galaxy Vol. 2,"Action & Adventure, Comedy, Science Fiction & Fantasy",James Gunn (II),Walt Disney Pictures
Guarding Tess,"Comedy, Mystery & Suspense",Hugh Wilson,Sony Pictures Home Entertainment
Güeros,Comedy,Alonso Ruizpalacios,Kino Lorber Films
Guerrilla: The Taking of Patty Hearst,Documentary,Robert Stone,Magnolia Pictures
Guess Who,Comedy,Kevin Rodney Sullivan,Sony Pictures
Guess Who's Coming to Dinner,"Classics, Comedy, Drama, Romance",Stanley Kramer,Columbia Pictures Corporation
Guest of Cindy Sherman,"Documentary, Musical & Performing Arts","Paul H-O, Tom Donahue",Trela Media
Guidance,Comedy,Pat Mills,Strand Releasing
The Guilty,"Drama, Mystery & Suspense","Anthony Waller, Anthony Walker",Studio Home Entertainment
Guilty as Sin,"Drama, Mystery & Suspense",Sidney Lumet,Buena Vista
Guilty by Suspicion,Drama,Irwin Winkler,Warner Home Video
Guilty Of Romance,"Art House & International, Drama, Mystery & Suspense",Sion Sono,Olive Films
Gulliver's Travels,"Action & Adventure, Comedy, Science Fiction & Fantasy",Rob Letterman,20th Century Fox
The Gumball Rally,"Action & Adventure, Comedy",Chuck Bail,WARNER BROTHERS PICTURES
Gun Hill Road,Drama,Rashaad Ernesto Green,Independent Pictures
Gun Shy,Comedy,Eric Blakeney,Hollywood Pictures
Gun Shy,Action & Adventure,Simon West,
Guncrazy,"Action & Adventure, Drama, Mystery & Suspense",Tamra Davis,Academy Entertainment
Gunfight at the O.K. Corral,"Action & Adventure, Classics, Western",John Sturges,Paramount Pictures
Gunga Din,"Action & Adventure, Classics, Comedy, Drama",George Stevens,Turner Home Entertainment
Gunless,"Action & Adventure, Comedy, Western",William Phillips,Cinema Eopch
Gunnin' for That #1 Spot,"Documentary, Sports & Fitness",Adam Yauch,Oscilloscope Pictures
The Guns of Navarone,"Action & Adventure, Art House & International, Classics, Drama",J. Lee Thompson,Columbia Pictures
Guru,"Art House & International, Drama",Mani Ratnam,Adlabs Films
Gut,"Horror, Mystery & Suspense",Elias,Vanguard Cinema
Guy and Madeline on a Park Bench,"Drama, Musical & Performing Arts",Damien Chazelle,Variance Films
Guy X,Comedy,Saul Metzstein,Movision
Guys and Balls,"Art House & International, Comedy, Drama, Sports & Fitness",Sherry Hormann,Regent Releasing
Guys and Dolls,"Classics, Comedy, Drama, Musical & Performing Arts","Joseph L. Mankiewicz, Frank L. Mankiewicz",MGM
Guzaarish,"Drama, Romance",Sanjay Leela Bhansali,UTV Communications
Gwen,"Horror, Mystery & Suspense",William McGregor,RLJE Films
Gymkata,"Action & Adventure, Drama",Robert Clouse,Warner Home Video
Gypsy 83,"Art House & International, Comedy, Drama",Todd Stephens,Small Planet
When the Road Bends: Tales of a Gypsy Caravan,"Documentary, Musical & Performing Arts, Special Interest",Jasmine Dellal,Shadow Distribution
H,"Art House & International, Drama, Mystery & Suspense","Jong-hyuk Lee, Lee Jong-hyuk, Lee Jong-hyeok",Tartan Films
H2: Halloween II,Horror,Rob Zombie,The Weinstein Company
Ha-shoter (Policeman),"Art House & International, Drama",Nadav Lapid,Corinth Films
Habermann,"Art House & International, Drama","Yoraye Hz, Juraj Herz",Corinth Films
Hachi: A Dog's Tale,"Drama, Kids & Family",Lasse Hallstrom,Inferno Entertainment
Hackers,"Action & Adventure, Mystery & Suspense, Science Fiction & Fantasy",Iain Softley,MGM
Hacksaw Ridge,"Action & Adventure, Drama",Mel Gibson,Summit Entertainment
Hagazussa: A Heathen's Curse (Hagazussa),"Art House & International, Horror",Lukas Feigelfeld,Doppelgänger Releasing
Haiku Tunnel,"Art House & International, Comedy","Jacob Kornbluth, Josh Kornbluth",Sony Pictures Classics
"Hail, Caesar!",Comedy,"Joel Coen, Ethan Coen",Universal Pictures
"Je Vous Salue, Marie (Hail Mary)","Art House & International, Drama, Special Interest, Faith & Spirituality",Jean-Luc Godard,
Hail the Conquering Hero,"Classics, Comedy, Drama",Preston Sturges,MCA Universal Home Video
Hair,"Comedy, Drama, Musical & Performing Arts",Milos Forman,United Artists
Hair High,"Animation, Comedy, Horror, Romance",Bill Plympton,Plymptoons
HairBrained,"Comedy, Drama",Billy Kent,Vertical Entertainment
Hairspray,"Comedy, Musical & Performing Arts",Adam Shankman,New Line Cinema
"Hale County This Morning, This Evening",Documentary,RaMell Ross,The Cinema Guild
Half Light,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Craig Rosenberg,First Look Pictures
Half a Sixpence,"Classics, Musical & Performing Arts, Romance",George Sidney II,
Half Baked,Comedy,Tamra Davis,Universal Pictures
Half Magic,Comedy,Heather Graham,Momentum Pictures
Half Nelson,Drama,Ryan Fleck,ThinkFilm
Half of a Yellow Sun,Drama,Biyi Bandele,Monterey Media
Half Past Dead,Action & Adventure,Don Michael Paul,Screen Gems
Hall Pass,Comedy,"Matthew F. Leonetti, Peter Farrelly, Bobby Farrelly",Warner Bros. Pictures
Hallowed Ground,Horror,Miles Doleac,Uncork'd Entertainment
Halloween,Horror,Rob Zombie,MGM
Halloween,Horror,David Gordon Green,Universal Pictures
Halloween 4: The Return of Michael Myers,Horror,"Dwight H. Little, Mark Cullingham",Twentieth Century Fox Home Entertainment
Halloween 5: The Revenge of Michael Myers,Horror,Dominique Othenin-Girard,Trancas International Films Inc.
Halloween H20,Horror,Steve Miner,Miramax
Halloween II,"Drama, Horror","John Carpenter, Rick Rosenthal",Universal Pictures
Halloween III: Season of the Witch,"Horror, Science Fiction & Fantasy",Tommy Lee Wallace,MCA Universal Home Video
Halloween: Resurrection,Horror,Rick Rosenthal,Dimension Films
Halloween - The Curse of Michael Myers (Halloween 6),"Horror, Kids & Family",Joe Chappelle,Lyrick
Halloweentown,"Comedy, Kids & Family, Science Fiction & Fantasy",Duwayne Dunham,Singer/White Productions
Halls of Montezuma,"Action & Adventure, Classics, Drama",Lewis Milestone,Fox
Hamburger Hill,"Action & Adventure, Drama",John Irvin,Vestron Video
Hamlet 2,Comedy,Andrew Fleming,Focus Features
Hammer Of The Gods,Action & Adventure,Farren Blackburn,Magnolia Pictures
Hammett,"Action & Adventure, Drama, Mystery & Suspense",Wim Wenders,LionsGate Entertainment
Hampstead,"Comedy, Drama, Romance",Joel Hopkins,IFC Films
Hancock,"Action & Adventure, Comedy, Drama",Peter Berg,Columbia Pictures
The Handmaid's Tale,"Drama, Science Fiction & Fantasy",Volker Schlöndorff,HBO Video
Hands of Stone,"Action & Adventure, Drama",Jonathan Jakubowicz,Fuego Films
Handsome Harry,Drama,Bette Gordon,Screen Media Ventures
Hang 'em High,"Classics, Drama, Western",Ted Post,United Artists
Hangar 10,"Horror, Mystery & Suspense, Science Fiction & Fantasy",Daniel Simpson,Newscope Films
Hangin' with the Homeboys,"Comedy, Drama",Joseph B. Vasquez,New Line Cinema
Hanging Up,"Comedy, Drama",Diane Keaton,Sony Pictures Home Entertainment
Hangman,Horror,Adam Mason,Energize Students
Hangman,"Drama, Mystery & Suspense",Johnny Martin,Saban Films
Hangmen Also Die,Classics,Fritz Lang,Cohen Media Group
Hanky Panky,"Action & Adventure, Comedy, Drama, Mystery & Suspense",Sidney Poitier,Sony Pictures Entertainment
Hanna,"Action & Adventure, Mystery & Suspense",Joe Wright,Focus Features
Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,"Documentary, Kids & Family, Musical & Performing Arts",Bruce Hendricks,Walt Disney Studios
Hannah and Her Sisters,"Comedy, Drama, Romance",Woody Allen,Orion Pictures
Hannah Arendt,Drama,Margarethe von Trotta,Zeitgeist Films
Hannah Free,"Drama, Gay & Lesbian",Wendy Jo Carlton,Ripe Fruit Films
Hannah Gadsby: Nanette,Comedy,"Madeleine Parry, Jon Olb",Netflix
Hannah Montana: The Movie,"Comedy, Kids & Family",Peter Chelsom,Walt Disney Pictures
Hannah Takes the Stairs,"Art House & International, Comedy, Drama",Joe Swanberg,IFC First Take
Hannibal Buress: Comedy Camisado,"Comedy, Television",Lance Bangs,Netflix
Hannibal Rising,"Drama, Horror, Mystery & Suspense",Peter Webber,MGM
Hanover Street,"Action & Adventure, Drama, Romance",Peter Hyams,Sony Pictures Entertainment
Hans Christian Andersen,"Classics, Kids & Family, Musical & Performing Arts, Romance",Charles Vidor,MGM
Hansel and Gretel: Witch Hunters,"Action & Adventure, Comedy",Tommy Wirkola,Paramount Pictures/MGM
The Happiest Millionaire,"Comedy, Drama, Kids & Family, Musical & Performing Arts",Norman Tokar,Walt Disney Productions
Happily N'ever After,"Animation, Comedy, Kids & Family, Science Fiction & Fantasy",Paul J. Bolger,Lionsgate
The Happiness of the Katakuris,"Art House & International, Comedy, Drama, Horror, Musical & Performing Arts",Takashi Miike,
Happy Accidents,"Comedy, Drama, Romance",Brad Anderson,IFC Films
Happy Anniversary,Comedy,Jared Stern,Netflix
Happy as Lazzaro (Lazzaro felice),"Art House & International, Drama",Alice Rohrwacher,Netflix
Happy Birthday to Me,"Art House & International, Horror",J. Lee Thompson,Columbia Pictures
Happy Campers,Comedy,Daniel Waters,New Line Cinema
Happy Christmas,Drama,Joe Swanberg,Magnolia Pictures
Happy Death Day,Horror,Christopher Landon,Universal Studios
Happy Death Day 2U,Horror,Christopher Landon,Universal Pictures
Happy Endings,"Art House & International, Comedy, Drama",Don Roos,Lions Gate
Happy Feet,"Animation, Comedy, Kids & Family","George Miller, Warren Coleman, Judy Morris",Warner Bros. Pictures
