,guessWord,genreHint,directorsHint,studioHint,sentenceInfo
6670,The Glass House,"Drama, Mystery & Suspense",Daniel Sackheim,The Film Sales Company,3_5_5
6671,Glassland,Drama,Gerard Barrett,Element Pictures,9
6672,Gleason,Documentary,Clay Tweel,Dear Rivers Production,7
6673,Glee: The 3D Concert Movie,"Comedy, Documentary, Musical & Performing Arts",Kevin Tancharoen,20th Century Fox,5_3_2_7_5
6674,Glen Campbell: I'll Be Me,"Documentary, Musical & Performing Arts",James Keach,PCH Films,4_9_4_2_2
6675,Glen or Glenda?,"Classics, Drama",Edward D. Wood Jr.,Screen Classics Inc.,4_2_7
6676,Glengarry Glen Ross,Drama,James Foley,Artisan Home Entertainment,9_4_4
6677,The Glenn Miller Story,"Classics, Drama, Musical & Performing Arts",Anthony Mann,Universal Pictures,3_5_6_5
6678,The Glimmer Man,Action & Adventure,John Gray,Warner Home Video,3_7_3
6679,Glitter,"Drama, Musical & Performing Arts",Vondie Curtis-Hall,20th Century Fox,7
6680,Gloria,"Art House & International, Drama","Sebasti�n Lelio, Sebasti�n Lelio",Roadside Attractions,6
6681,Gloria,Drama,Christian Keller Sarmiento,Picturehouse Films,6
6682,Gloria Bell,"Comedy, Romance",Sebasti�n Lelio,A24,6_4
6683,Glorious 39,"Drama, Horror, Mystery & Suspense, Romance",Stephen Poliakoff,E1 Entertainment,8_2
6684,GMO OMG,"Documentary, Special Interest, Sports & Fitness",Jeremy Seifert,Submarine Deluxe,3_3
6685,Gnomeo and Juliet,"Action & Adventure, Animation, Comedy, Kids & Family, Musical & Performing Arts, Romance","Kelly Aysbury, Kelly Asbury",Touchstone Pictures,6_3_6
6686,Go For Sisters,Drama,John Sayles,Variance Films,2_3_7
6687,Go Further,"Comedy, Documentary, Kids & Family, Special Interest",Ron Mann,Abramorama Entertainment,2_7
6688,Go Tigers!,"Documentary, Special Interest, Sports & Fitness",Kenneth A. Carlson,IFC Films,2_7
6689,Goal II: Living the Dream,Drama,Jaume Collet-Serra,Freestyle Releasing,4_3_6_3_5
6690,Goat,Drama,Andrew Neel,Killer Films,4
6691,Goats,"Comedy, Drama",Christopher Neil,Image Entertainment,5
6692,God Bless America,"Comedy, Drama",Bobcat Goldthwait,Magnolia Pictures,3_5_7
6693,God Bless Ozzy Osbourne,"Documentary, Musical & Performing Arts","Mike Piscitelli, Mike Fleiss",NCM/ Fathom,3_5_4_8
6694,God Bless the Broken Road,Drama,Harold Cronk,Freestyle Releasing.,3_5_3_6_4
6695,God Grew Tired Of Us,"Documentary, Special Interest",Christopher Dillon Quinn,Newmarket Films,3_4_5_2_2
6696,God Help the Girl,"Comedy, Drama, Musical & Performing Arts, Romance",Stuart Murdoch,Amplify,3_4_3_4
6697,God Knows Where I Am,Documentary,"Jedd Wider, Todd Wider",Wider Film Projects,3_5_5_1_2
6698,God Loves Uganda,"Documentary, Special Interest",Roger Ross Williams,Variance Films,3_5_6
6699,God of War,"Action & Adventure, Art House & International, Drama",Gordon Chan,Well Go USA Entertainment,3_2_3
6700,God Said 'Ha!',"Comedy, Documentary, Musical & Performing Arts",Julia Sweeney,Miramax,3_4_5
6701,"God, Sex & Apple Pie","Comedy, Drama",Paul Leaf,Brimstone Entertainment,4_3_1_5_3
6702,God Told Me To,"Drama, Horror, Mystery & Suspense, Special Interest",Larry Cohen,Unknown,3_4_2_2
6703,The Godfather,Drama,Francis Ford Coppola,Paramount Pictures,3_9
6704,"The Godfather, Part II","Drama, Mystery & Suspense",Francis Ford Coppola,Paramount Pictures,3_10_4_2
6705,"The Godfather, Part III","Action & Adventure, Drama",Francis Ford Coppola,Paramount Pictures,3_10_4_3
6706,Gods and Generals,"Classics, Drama",Ronald F. Maxwell,Warner Bros. Pictures,4_3_8
6707,Gods and Monsters,Drama,Bill Condon,Lions Gate Films,4_3_8
6708,God's Horses,"Art House & International, Drama",Nabil Ayouch,Kino Lorber,5_6
6709,The Gods Must Be Crazy II,Comedy,Jamie Uys,Sony Pictures Home Entertainment,3_4_4_2_5_2
6710,God's Not Dead,"Comedy, Drama",Harold Cronk,Pure Flix Entertainment,5_3_4
6711,God's Not Dead 2,Drama,Harold Cronk,Pure Flix Entertainment,5_3_4_1
6712,God's Not Dead: A Light in Darkness,Drama,Michael Mason,Pure Flix Entertainment,5_3_5_1_5_2_8
6713,Gods Of Egypt,"Action & Adventure, Science Fiction & Fantasy",Alex Proyas,Lionsgate,4_2_5
6714,Gods of the Plague (Gotter der Pest),"Art House & International, Drama, Mystery & Suspense",Rainer Werner Fassbinder,Criterion Collection,4_2_3_6_7_3_5
6715,God's Own Country,"Art House & International, Drama, Romance",Francis Lee,Samuel Goldwyn Films,5_3_7
6716,God's Pocket,Drama,John Slattery,IFC Films,5_6
6717,Godsend,"Drama, Horror, Mystery & Suspense",Nick Hamm,Lions Gate Films,7
6718,Godspeed,"Drama, Mystery & Suspense",Robert Saitzyk,Film Harvest,8
6719,Godspell,"Classics, Drama, Musical & Performing Arts","David Greene, John-Michael Tebelak",Sony Pictures Home Entertainment,8
6720,Godzilla,"Action & Adventure, Horror, Science Fiction & Fantasy",Roland Emmerich,Sony Pictures Home Entertainment,8
6721,"Godzilla, Mothra and King Ghidorah: Giant Monsters All-Out Attack","Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Shusuke Kaneko,Sony Pictures Entertainment,9_6_3_4_9_5_8_7_6
6722,Godzilla: Tokyo S.O.S.,"Action & Adventure, Art House & International, Science Fiction & Fantasy",Mas�ki Tezuka,Sony Pictures Home Entertainment,9_5_6
6723,Godzilla Vs Mechagodzilla II (Gojira VS Mekagojira),"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Takao Okawara,Sony Pictures Home Entertainment,8_2_13_2_7_2_11
6724,Godzilla vs. Megalon,"Horror, Science Fiction & Fantasy",Jun Fukuda,Toho Company,8_3_7
6725,Godzilla (Gojira),"Action & Adventure, Art House & International, Horror, Science Fiction & Fantasy",Ishir� Honda,Toho,8_8
6726,Godzilla 2000,"Action & Adventure, Art House & International, Drama, Science Fiction & Fantasy",Takao Okawara,TriStar Pictures,8_4
6727,Godzilla,"Mystery & Suspense, Science Fiction & Fantasy",Gareth Edwards (V),Warner Bros Pictures,8
6728,Godzilla and Mothra: The Battle for Earth (Gojira vs. Mosura),"Art House & International, Horror, Science Fiction & Fantasy",Takao Okawara,Sony Pictures Home Entertainment,8_3_7_3_6_3_5_7_3_7
6729,"Godzilla, King of the Monsters!","Art House & International, Classics, Horror, Science Fiction & Fantasy","Terrell O. Morse, Ishir� Honda, Terry Morse",Vestron Video,9_4_2_3_9
6730,Godzilla: King of the Monsters,"Action & Adventure, Science Fiction & Fantasy",Michael Dougherty,Warner Bros. Pictures,9_4_2_3_8
6731,Godzilla Resurgence (Shin Godzilla),"Action & Adventure, Drama, Science Fiction & Fantasy","Hideaki Anno, Shinji Higuchi",Toho Company,8_10_5_9
6732,Godzilla Vs. Destoroyah,"Action & Adventure, Science Fiction & Fantasy",Takao Okawara,Sony Pictures Entertainment,8_3_10
6733,Godzilla vs. King Ghidorah (Gojira tai Kingu Gidor�),"Action & Adventure, Art House & International, Drama, Horror, Science Fiction & Fantasy","Koichi Kawakita, Kazuki Omori",Sony Pictures Entertainment,8_3_4_8_7_3_5_7
6734,Godzilla Vs Mechagodzilla,"Art House & International, Classics, Science Fiction & Fantasy",Jun Fukuda,Sony Pictures Entertainment,8_2_13
6735,Godzilla vs. Megaguirus,"Action & Adventure, Art House & International, Science Fiction & Fantasy",Mas�ki Tezuka,Sony Pictures Home Entertainment,8_3_10
6736,Godzilla vs. Space Godzilla (Gojira vs. Supesugojira),"Action & Adventure, Horror, Science Fiction & Fantasy",Kensho Yamashita,Sony Pictures,8_3_5_8_7_3_13
6737,Godzilla's Revenge (All Monsters Attack),"Action & Adventure, Art House & International, Classics, Kids & Family, Science Fiction & Fantasy",Ishir� Honda,Maron Films,10_7_4_8_7
6738,Goethe! (Young Goethe in Love),"Art House & International, Drama",Philipp St�lzl,Music Box Films,7_6_6_2_5
6739,Gogol Bordello Non-Stop,"Documentary, Musical & Performing Arts",Margarita Jimeno,Lorber Films,5_8_8
6740,Goin' South,"Comedy, Drama, Western",Jack Nicholson,Paramount Home Video,5_5
6741,Going Clear: Scientology and the Prison of Belief,Documentary,Alex Gibney,Home Box Office,5_6_11_3_3_6_2_6
6742,Going Down In La-la Land,"Comedy, Drama, Romance",Casper Andreas,Embrem Entertainment,5_4_2_5_4
6743,Going in Style,"Comedy, Drama",Martin Brest,Warner Bros. Pictures,5_2_5
6744,Going in Style,Comedy,Zach Braff,Warner Bros. Pictures,5_2_5
6745,Going My Way,"Classics, Comedy, Drama, Musical & Performing Arts",Leo McCarey,Paramount Pictures,5_2_3
6746,Going Places (Les valseuses),"Art House & International, Comedy, Drama",Bertrand Blier,Franco London Films,5_6_4_10
6747,Going Shopping,"Comedy, Drama",Henry Jaglom,MTI Home Video,5_8
6748,Going Under,"Art House & International, Drama",Eric Werthman,,5_5
6749,Gold,Drama,Stephen Gaghan,TWC-Dimension,4
6750,Gold Diggers of 1933,Musical & Performing Arts,Mervyn LeRoy,MGM Home Entertainment,4_7_2_4
6751,Gold Diggers of 1935,"Classics, Comedy, Musical & Performing Arts",Lloyd Bacon,Warner Bros. Pictures,4_7_2_4
6752,Gold Star,Drama,Victoria Negri,Big Vision Creative,4_4
6753,Elizabeth: The Golden Age,"Drama, Mystery & Suspense",Shekhar Kapur,Universal Pictures,10_3_6_3
6754,The Golden Bowl,"Art House & International, Drama, Romance",James Ivory,Lions Gate Films,3_6_4
6755,Golden Boy,Drama,Stoney Westmoreland,DFM Creative,6_3
6756,The Golden Child,"Action & Adventure, Comedy, Cult Movies",Michael Ritchie,Paramount Home Video,3_6_5
6757,Golden Door (Nuovomondo),"Art House & International, Drama","Emanuele Crialese, Vincenzo Amato, Charlotte Gainsbourg",Miramax Films,6_4_12
6758,Golden Exits,Drama,,Sony Pictures and Vertical Entertainment,6_5
6759,Golden Kingdom,Drama,Brian Perkins,Alive Mind,6_7
6760,The Golden Voyage of Sinbad,"Action & Adventure, Art House & International, Kids & Family, Science Fiction & Fantasy",Gordon Hessler,Columbia Pictures,3_6_6_2_6
6761,GoldenEye,"Action & Adventure, Mystery & Suspense",Martin Campbell,MGM/UA,9
6762,Goldfinger,"Action & Adventure, Classics, Mystery & Suspense",Guy Hamilton,United Artists,10
6763,"The Golem (Der Golem, wie er in die Welt kam)","Art House & International, Classics, Horror, Science Fiction & Fantasy","Carl Boese, Paul Wegener",,3_5_4_6_3_2_2_3_4_4
6764,Golmaal Returns,"Art House & International, Comedy","Rohit Shetty, Hanif Mohammad",Studio 18,7_7
6765,Golmaal 3,"Art House & International, Comedy",Rohit Shetty,Eros International,7_1
6766,Gomorrah (Gomorra),"Art House & International, Drama, Mystery & Suspense",Matteo Garrone,IFC Films,8_9
6767,Gone,Mystery & Suspense,Heitor Dhalia,Summit Entertainment,4
6768,Gone Baby Gone,"Drama, Mystery & Suspense",Ben Affleck,Miramax,4_4_4
6769,Gone Doggy Gone,"Action & Adventure, Comedy, Drama","Brandon Walter, Kasi Brown",Indican Pictures,4_5_4
6770,Gone Fishin',Comedy,Christopher Cain,Hollywood Pictures,4_7
6771,Gone Girl,"Drama, Mystery & Suspense",David Fincher,20th Century Fox,4_4
6772,Gone With the Wind,"Classics, Drama, Romance",Victor Fleming,Loew's Inc.,4_4_3_4
6773,Gonjiam: Haunted Asylum,Horror,Beom-sik Jeong,,8_7_6
6774,Gonzo: The Life and Work of Hunter S. Thompson,"Documentary, Special Interest",Alex Gibney,Magnolia Pictures,6_3_4_3_4_2_6_2_8
6775,Gooby,"Art House & International, Kids & Family, Science Fiction & Fantasy",Wilson Coneybeare,Monterey Media,5
6776,Good Advice,"Comedy, Romance",Steve Rash,Artisan Home Entertainment,4_6
6777,Good Burger,"Comedy, Kids & Family",Brian Robbins,Paramount Pictures,4_6
6778,"Good Bye, Lenin!","Art House & International, Comedy, Drama, Romance",Wolfgang Becker,Sony Pictures Classics,4_4_6
6779,A Good Day to Be Black & Sexy,"Comedy, Drama, Romance",Dennis Dortch,Magnolia Pictures,1_4_3_2_2_5_1_4
6780,Good Dick,"Art House & International, Comedy, Drama",Marianna Palka,42 West,4_4
6781,The Good Earth,"Classics, Drama","Sidney Franklin, Victor Fleming",WARNER BROTHERS PICTURES,3_4_5
6782,Good for Nothing,"Art House & International, Western",Mike Wallis,Screen Media Ventures,4_3_7
6783,Good Fortune,"Documentary, Kids & Family","Joshua Tickell, Rebecca Harrell Tickell",Paladin,4_7
6784,The Good German,"Drama, Mystery & Suspense, Romance",Steven Soderbergh,Warner Bros. Pictures,3_4_6
6785,The Good Guy,"Comedy, Drama, Romance",Julio DePietro,Roadside Attractions,3_4_3
6786,Good Hair,"Comedy, Documentary, Special Interest",Jeff Stilson,Roadside Attractions,4_4
6787,Good Kids,Comedy,Chris McCoy,Depth of Field,4_4
6788,Good Kill,Mystery & Suspense,Andrew Niccol,IFC Films,4_4
6789,Good Luck Chuck,Comedy,Mark Helfrich,Lionsgate Films,4_4_5
6790,A Good Man in Africa,"Comedy, Drama",Bruce Beresford,MCA Universal Home Video,1_4_3_2_6
6791,Good Morning (Ohay�),"Art House & International, Comedy",Yasujiro Ozu,Sh�chiku Eiga,4_7_7
6792,"Good Morning, Vietnam","Comedy, Drama",Barry Levinson,Buena Vista Pictures,4_8_7
6793,The Good Mother (The Price of Passion),"Drama, Romance",Leonard Nimoy,Touchstone Pictures,3_4_6_4_5_2_8
6794,Good Neighbors,"Drama, Mystery & Suspense",Jacob Tierney,Magnolia Pictures,4_9
6795,Good News,"Classics, Comedy, Musical & Performing Arts, Romance",Charles Walters,MGM Home Entertainment,4_4
6796,The Good Night,"Comedy, Drama, Romance","Jake Paltrow, Giles Nuttgens",Yari Film Group,3_4_5
6797,Good Ol' Freda,"Documentary, Special Interest",Ryan White,Magnolia Pictures,4_3_5
6798,Good People,"Drama, Mystery & Suspense",Henrik Ruben Genz,Millennium Entertainment,4_6
6799,Good Sam,Comedy,Kate Melville,,4_3
6800,The Good Shepherd,"Drama, Mystery & Suspense, Romance",Robert De Niro,Universal Pictures,3_4_8
6801,The Good Son,"Drama, Mystery & Suspense",Joseph Ruben,Twentieth Century Fox Home Entertainment,3_4_3
6802,Good Time,Drama,"Benny Safdie, Josh Safdie",A24,4_4
6803,Good Will Hunting,Drama,Gus Van Sant,Miramax Films,4_4_7
6804,A Good Woman,"Comedy, Drama, Romance",Mike Barker,Lions Gate Films,1_4_5
6805,A Good Year,"Comedy, Drama, Romance",Ridley Scott,20th Century Fox,1_4_4
6806,Goodbye Christopher Robin,Drama,,Fox Searchlight Pictures,7_11_5
6807,"Goodbye, Columbus","Comedy, Romance",Larry Peerce,Paramount,8_8
6808,Goodbye Lover,"Comedy, Drama, Mystery & Suspense",Roland Joff�,Warner Home Video,7_5
6809,Goodbye Solo,"Comedy, Drama",Ramin Bahrani,Roadside Attractions,7_4
6810,Goodbye to All That,"Comedy, Drama",Angus MacLachlan,IFC Films,7_2_3_4
6811,Goodbye World,"Comedy, Drama","Denis Hennelly, Denis Henry Hennelly",IDP/Samuel goldwyn Films,7_5
6812,"Goodnight Mommy (Ich seh, Ich seh)","Drama, Horror","Veronika Franz, Severin Fiala",Radius-TWC,9_5_4_4_3_4
6813,"The Goods: Live Hard, Sell Hard",Comedy,Neal Brennan,Paramount Vantage,3_6_4_5_4_4
6814,A Goofy Movie,"Animation, Comedy, Kids & Family",Kevin Lima,The Walt Disney Company,1_5_5
6815,Google Me,"Art House & International, Documentary, Special Interest",Jim Killeen,FilmBuff,6_2
6816,Gook,Drama,Justin Chon,Samuel Goldwyn Films,4
6817,Goon,"Comedy, Sports & Fitness",Michael Dowse,Magnolia Pictures,4
6818,Goon: Last of the Enforcers,Comedy,Jay Baruchel,Momentum Pictures,5_4_2_3_9
6819,The Goonies,"Action & Adventure, Comedy, Kids & Family",Richard Donner,Amblin Entertainment,3_7
6820,Goosebumps,"Horror, Kids & Family, Mystery & Suspense",Rob Letterman,Sony Pictures,10
6821,Goosebumps 2: Haunted Halloween,"Comedy, Horror, Kids & Family",Ari Sandel,Columbia Pictures,10_2_7_9
6822,Gordy,"Comedy, Kids & Family",Mark Lewis,Miramax,5
6823,Gore Vidal: The United States Of Amnesia,"Documentary, Special Interest",Nicholas Wrathall,IFC Films,4_6_3_6_6_2_7
6824,Gored,Documentary,Ido Mizrahy,MotherLode Films,5
6825,Gori Tere Pyaar Mein,"Comedy, Romance",Punit Malhotra,Reliance Entertainment,4_4_5_4
6826,Gorillas in the Mist: The Story of Dian Fossey,Drama,Michael Apted,Universal Pictures,8_2_3_5_3_5_2_4_6
6827,Gorky Park,"Drama, Mystery & Suspense",Michael Apted,Vestron Video,5_4
6828,Gosford Park,"Comedy, Drama, Mystery & Suspense",Robert Altman,USA Films,7_4
6829,The Gospel,"Drama, Faith & Spirituality",Rob Hardy,Screen Gems,3_6
6830,Il Vangelo Secondo Matteo (The Gospel According to St. Matthew),"Art House & International, Documentary, Drama",Pier Paolo Pasolini,Water Bearer Films Inc.,2_7_7_6_4_6_9_2_3_8
6831,Gospel Hill,Drama,Giancarlo Esposito,Fox,6_4
6832,Gossip,"Drama, Mystery & Suspense",Colin Nutley,Warner Home Video,6
6833,Gothic,"Art House & International, Drama, Horror, Mystery & Suspense",Ken Russell,LionsGate Entertainment,6
6834,Gothika,"Horror, Mystery & Suspense",Mathieu Kassovitz,Warner Bros. Pictures,7
6835,Gottfried Helnwein and the Dreaming Child,"Art House & International, Documentary, Musical & Performing Arts",Lisa Kirk Colburn,First Run Features,9_8_3_3_8_5
6836,Gotti,Drama,Kevin Connolly,Vertical Entertainment,5
6837,The Governess,"Art House & International, Drama, Romance",Sandra Goldbacher,Sony Pictures Home Entertainment,3_9
6838,Goya's Ghosts,Drama,Milos Forman,Samuel Goldwyn Films,6_6
6839,Grabbers,"Comedy, Drama, Horror, Science Fiction & Fantasy",Jon Wright,IFC,8
6840,Grace Is Gone,Drama,James C. Strouse,The Weinstein Company,5_2_4
6841,Grace of My Heart,"Drama, Musical & Performing Arts",Allison Anders,MCA Universal Home Video,5_2_2_5
6842,Grace Unplugged,"Drama, Faith & Spirituality",Brad J. Silverman,Roadside Attractions,5_9
6843,Graceland,"Art House & International, Drama, Mystery & Suspense",Ron Morales,Drafthouse Films,9
6844,Gracie,Drama,Davis Guggenheim,Picturehouse,6
6845,The Graduate,"Classics, Comedy, Drama, Romance",Mike Nichols,Embassy Pictures/Rialto Pictures,3_8
6846,Graduation,"Action & Adventure, Comedy, Drama",Michael Mayer (VI),Truly Indie,10
6847,Graduation Day (D�a de Graduaci�n),"Horror, Mystery & Suspense",Herb Freed,IFI,10_3_4_2_11
6848,Graffiti Bridge,"Drama, Musical & Performing Arts",Prince,WARNER BROTHERS PICTURES,8_6
6849,Gran Torino,Drama,Clint Eastwood,Warner Bros. Pictures/Village Roadshow,4_6
6850,Grand Canyon Adventure: River at Risk,Documentary,Greg MacGillivray,MacGillivray Freeman Films,5_6_10_5_2_4
6851,Grand Hotel,"Classics, Drama, Romance",Edmund Goulding,MGM Home Entertainment,5_5
6852,Grand Piano,Mystery & Suspense,Eugenio Mira,Magnet Releasing,5_5
6853,Grand Prix,"Classics, Drama",John Frankenheimer,MGM Home Entertainment,5_4
6854,Grand Theft Parsons,"Comedy, Drama",David Caffrey,Redbus Film Distribution,5_5_7
6855,Grandma,Comedy,Paul Weitz,Sony Pictures Classics,7
6856,Grandma's Boy,Comedy,Nicholaus Goossen,20th Century Fox,9_3
6857,The Grapes of Wrath,"Classics, Drama",John Ford,20th Century Fox Film Corporation,3_6_2_5
6858,Grass,"Documentary, Drama, Special Interest",Ron Mann,Unapix,5
6859,The Grass Harp,"Comedy, Drama",Charles Matthau,New Line Home Entertainment,3_5_4
6860,The Grass Is Greener,"Classics, Comedy, Romance",Stanley Donen,Grandon,3_5_2_7
6861,Grass Is Greener,Documentary,Fab 5 Freddy,,5_2_7
6862,Grassroots,"Comedy, Drama, Special Interest",Stephen Gyllenhaal,Samuel Goldwyn Films,10
6863,Grateful Dawg,"Documentary, Musical & Performing Arts",Gillian Grisman,Sony Pictures Classics,8_4
6864,Grave Encounters,Horror,"Colin Minihan, Stuart Ortiz",Independent Pictures,5_10
6865,Grave Encounters 2,Horror,John Poliquin,Tribeca Films,5_10_1
6866,Grave of the Fireflies (Hotaru no haka),"Animation, Anime & Manga, Art House & International, Drama",Isao Takahata,Shinchosha Company,5_2_3_9_7_2_5
6867,The Gravedancers,"Horror, Mystery & Suspense",Mike Mendez,LionsGate Entertainment,3_12
6868,Gravity,"Drama, Science Fiction & Fantasy",Alfonso Cuar�n,Warner Bros. Pictures,7
6869,Gravy,"Comedy, Horror",James Roday,Shout! Factory,5
6870,Gray Lady Down,"Action & Adventure, Drama, Mystery & Suspense",David Greene,MCA Universal Home Video,4_4_4
6871,Gray's Anatomy,"Art House & International, Comedy, Drama, Musical & Performing Arts",Steven Soderbergh,Criterion Collection,6_7
6872,Grease,"Comedy, Musical & Performing Arts, Romance",Randal Kleiser,Paramount Pictures,6
6873,Grease 2,"Comedy, Musical & Performing Arts, Romance",Patricia Birch,Paramount Home Video,6_1
6874,Grease: Live!,"Musical & Performing Arts, Television","Thomas Kail, Alex Rudzinski",Fox Broadcasting Company,7_5
6875,Greaser's Palace,"Classics, Comedy, Drama, Western",Robert Downey Sr.,Greaser's Palace,9_6
6876,A Great Day in Harlem,"Documentary, Musical & Performing Arts, Special Interest",Jean Bach,A B C Home Video,1_5_3_2_6
6877,The Great Debaters,Drama,Denzel Washington,MGM,3_5_8
6878,The Great Dictator,"Classics, Comedy, Drama",Charles Chaplin,Criterion Collection,3_5_8
6879,Great Expectations,"Classics, Drama",David Lean,Universal Pictures,5_12
6880,Great Expectations,"Classics, Drama",Mike Newell,Main Street Films,5_12
6881,The Great Gabbo,"Classics, Drama",James Cruze,World Wide Pictures,3_5_5
6882,The Great Muppet Caper,"Comedy, Kids & Family, Musical & Performing Arts",Jim Henson,Universal Pictures,3_5_6_5
6883,The Great New Wonderful,"Comedy, Drama",Danny Leiner,First Independent Pictures,3_5_3_9
6884,The Great Outdoors,Comedy,Howard Deutch,Universal Pictures,3_5_8
6885,The Great Raid,"Action & Adventure, Drama",John Dahl,Miramax Films,3_5_4
6886,The Great Santini,Drama,Lewis John Carlino,Warner Home Video,3_5_7
6887,The Great White Hype,"Comedy, Drama",Reginald Hudlin,Twentieth Century Fox Home Entertainment,3_5_5_4
6888,Great World of Sound,"Comedy, Drama",Craig Zobel,Magnolia Pictures,5_5_2_5
6889,The Great Ziegfeld,"Classics, Drama, Musical & Performing Arts, Romance",Robert Z. Leonard,MGM Home Entertainment,3_5_8
6890,Greater,"Drama, Sports & Fitness",David Hunt,,7
6891,The Greatest Game Ever Played,Drama,Bill Paxton,Buena Vista Pictures,3_8_4_4_6
6892,The Greatest Show on Earth,"Classics, Drama, Kids & Family, Romance",Cecil B. DeMille,Paramount Pictures,3_8_4_2_5
6893,The Greatest Story Ever Told,"Classics, Drama, Faith & Spirituality",George Stevens,MGM Home Entertainment,3_8_5_4_4
6894,Greedy,Comedy,Jonathan Lynn,MCA Universal Home Video,6
6895,Greedy Lying Bastards,"Documentary, Special Interest",Craig Scott Rosebraugh,One Earth Productions,6_5_8
6896,Green Book,Drama,Peter Farrelly,Universal Pictures,5_4
6897,Green Card,"Comedy, Romance",Peter Weir,Touchstone Pictures,5_4
6898,Green Dragon,Drama,Timothy Linh Bui,Silver Nitrate Films,5_6
6899,Green for Danger,"Classics, Drama, Mystery & Suspense",Sidney Gilliat,Eagle-Lion Films,5_3_6
6900,The Green Hornet,"Action & Adventure, Comedy, Science Fiction & Fantasy",Michel Gondry,Sony Pictures,3_5_6
6901,Green Lantern,"Action & Adventure, Science Fiction & Fantasy",Martin Campbell,Warner Bros. Pictures,5_7
6902,Green Lantern: First Flight,"Action & Adventure, Animation, Science Fiction & Fantasy",Lauren Montgomery,Warner Home Video,5_8_5_6
6903,The Green Mile,"Drama, Mystery & Suspense, Science Fiction & Fantasy",Frank Darabont,Warner Bros. Pictures,3_5_4
6904,The Green Pastures,"Classics, Comedy, Drama","William Keighley, Marc Connelly",Warner Home Video,3_5_8
6905,Green Room,Horror,Jeremy Saulnier,A24 Films,5_4
6906,The Green Slime,"Drama, Horror, Science Fiction & Fantasy",Kinji Fukasaku,Warner Home Video,3_5_5
6907,Green Street Hooligans,Drama,Lexi Alexander,Freestyle Releasing,5_6_9
6908,Greenberg,"Comedy, Drama",Noah Baumbach,Focus Features,9
6909,Greener Grass,Comedy,"Jocelyn DeBoer, Dawn Luebbe",IFC Midnight,7_5
6910,Greenfingers,"Comedy, Drama",Joel Hershman,IDP Distribution,12
6911,Greenwich Village: Music That Defined a Generation,"Documentary, Musical & Performing Arts",Laura Archibald,Independent Pictures,9_8_5_4_7_1_10
6912,Greetings From Tim Buckley,Drama,Dan Algrant,Tribeca Film,9_4_3_7
6913,Gregory Crewdson: Brief Encounters,"Documentary, Musical & Performing Arts",Ben Shapiro,Zeitgeist Films,7_9_5_10
6914,Gregory's Girl,"Art House & International, Comedy, Drama, Romance",Bill Forsyth,Film Movement,9_4
6915,Gremlins,"Comedy, Horror, Science Fiction & Fantasy",Joe Dante,Warner Bros. Pictures,8
6916,Gremlins 2: The New Batch,"Comedy, Horror, Science Fiction & Fantasy",Joe Dante,Warner Home Video,8_2_3_3_5
6917,Greta,Drama,Neil Jordan,Focus Features,5
6918,Gretchen,Comedy,Steve Collins,Film Science,8
6919,Grey Gardens,"Documentary, Special Interest","David Maysles, Susan Froemke, Albert Maysles, Ellen Hovde, Muffie Meyer",Janus Films,4_7
6920,Grey Gardens,"Drama, Television",Michael Sucsy,HBO,4_7
6921,Grey Owl,Drama,Richard Attenborough,Beaver Productions,4_3
6922,"Greystoke: The Legend of Tarzan, Lord of the Apes","Action & Adventure, Art House & International, Drama, Kids & Family",Hugh Hudson,Warner Home Video,10_3_6_2_7_4_2_3_4
6923,Gridiron Gang,"Action & Adventure, Drama",Phil Joanou,Sony Pictures,8_4
6924,Il Grido (The Cry),"Art House & International, Drama",Michelangelo Antonioni,Kino on Video,2_5_4_4
6925,Griff the Invisible,"Art House & International, Comedy, Drama, Romance",Leon Ford,Indomina Releasing,5_3_9
6926,The Grifters,"Drama, Mystery & Suspense",Stephen Frears,HBO Video,3_8
6927,Grigris,Drama,Mahamat-Saleh Haroun,Les Films du Losange,7
6928,Gringo,"Action & Adventure, Comedy, Drama",Nash Edgerton,Amazon Studios and STX Entertainment,6
6929,Gringo Trails,"Action & Adventure, Documentary, Drama",Pegi Vail,Icarus Films,6_6
6930,Touchez Pas au Grisbi (Hands Off the Loot),"Art House & International, Drama, Mystery & Suspense",Jacques Becker,UMPO,7_3_2_6_6_3_3_5
6931,Grizzly Man,Documentary,Werner Herzog,Lions Gate Releasing,7_3
6932,Le fils de l'�picier (The Grocer's Son),"Art House & International, Drama",Eric Guirado,Les Films du Losange,2_4_2_9_4_8_4
6933,The Groomsmen,Comedy,Edward Burns,Bauer Martinez Distribution,3_9
6934,Groove,Drama,Greg Harrison,Sony Pictures Classics,6
6935,Gross Anatomy,"Comedy, Drama",Thom Eberhardt,Touchstone Pictures,5_7
6936,Grosse Pointe Blank,"Action & Adventure, Comedy, Drama, Mystery & Suspense",George Armitage,Buena Vista Internationa,6_6_5
6937,Ground Control,"Action & Adventure, Drama, Mystery & Suspense",Richard Howard,Trimark,6_7
6938,Groundhog Day,"Comedy, Science Fiction & Fantasy, Special Interest, Romance",Harold Ramis,Columbia Pictures,9_3
